Id,avg_asleep_hours
8053475328,4.95
1644430081,4.9
4558609924,2.1266666666666665
4319703577,7.94423076923077
2320127002,1.0166666666666666
1503960366,6.004666666666667
2347167796,7.4466666666666672
4388161847,6.6695652173913045
6775888955,5.8277777777777784
5553957443,7.7247311827957
7086361926,7.5520833333333321
5577150313,7.2
4445114986,6.4196428571428568
4020332650,5.822916666666667
6117666160,7.9796296296296285
8378563200,7.4188172043010745
2026352035,8.4363095238095251
7007744171,1.1416666666666666
1927972279,6.95
8792009665,7.2611111111111111
6962181067,7.4666666666666677
3977333714,4.89404761904762
4702921684,6.9580246913580241
1844505072,10.866666666666667
